Key,Year,CompanyCode,CompanyName,OperatingRevenues,NetIncomeAfterTax,CapitalStock,EPS
2013_8404,2013,8404,F-百和,3388445,294200,2233177,1.32
2013_8411,2013,8411,F-福貞,8637802,715369,1153016,6.82
2013_8422,2013,8422,可寧衛,2343057,1248221,1088880,11.46
2013_8427,2013,8427,F-基勝,5800974,231259,1080000,2.14
2013_9802,2013,9802,F-鈺齊,6938542,266136,1186423,2.24
2013_9902,2013,9902,台火,166161,154454,980496,1.58
2013_9904,2013,9904,寶成,226664569,10619449,29441372,3.62
2013_9905,2013,9905,大華,8321519,878196,3050000,2.88
2013_9906,2013,9906,欣巴巴,999466,7709,700000,0.11
2013_9907,2013,9907,統一實,33192553,1256122,15791453,0.8
2013_9910,2013,9910,豐泰,38148361,2294038,5567355,4.12
2013_9911,2013,9911,櫻花,4485422,477742,2764015,1.75
2013_9914,2013,9914,美利達,25309024,2907457,2847464,10.21
2013_9917,2013,9917,中保,12612747,1945567,4445292,4.57
2013_9919,2013,9919,康那香,4433243,31847,1971268,0.16
2013_9921,2013,9921,巨大,54391855,3504722,3750646,9.34
2013_9924,2013,9924,福興,5887680,580998,1884521,3.08
2013_9925,2013,9925,新保,7516434,1023175,3798545,2.71
2013_9927,2013,9927,泰銘,8890890,710900,2091482,3.4
2013_9928,2013,9928,中視,1262767,-162112,1327246,-1.22
2013_9929,2013,9929,秋雨,1338779,-133939,1491704,-0.9
2013_9930,2013,9930,中聯資,6247623,885107,2259458,3.92
2013_9933,2013,9933,中鼎,52221958,1641730,7474343,2.22
2013_9934,2013,9934,成霖,18814071,1921609,3239784,6.37
2013_9935,2013,9935,慶豐富,3259316,-467274,1251098,-3.93
2013_9938,2013,9938,百和,8106861,705491,2979639,2.37
2013_9939,2013,9939,宏全,16605620,1110310,2598479,4.27
2013_9940,2013,9940,信義,12091555,2475027,5028170,4.92
2013_9941,2013,9941,裕融,14177750,1363873,2500622,5.68
2013_9942,2013,9942,茂順,2536119,504276,831613,6.06
2013_9943,2013,9943,好樂迪,3278270,396115,1473176,2.69
2013_9944,2013,9944,新麗,3958623,105467,1007048,1.05
2013_9945,2013,9945,潤泰新,15101184,30592714,11919768,29.03
2013_9955,2013,9955,佳龍,4311810,-62975,1032082,-0.61
2014_1101,2014,1101,台泥,118325809,10828868,36921759,2.93
2014_1102,2014,1102,亞泥,77683281,9361635,33614472,2.98
2014_1103,2014,1103,嘉泥,3937686,16343,7768285,0.03
2014_1104,2014,1104,環泥,5819904,1392582,6159697,2.26
2014_1108,2014,1108,幸福,5099198,379540,4047380,0.94
2014_1109,2014,1109,信大,5000089,283540,4210008,0.67
2014_1110,2014,1110,東泥,2078224,141765,5720008,0.25
2014_1201,2014,1201,味全,26469174,-244138,5060629,-0.48
2014_1203,2014,1203,味王,6296547,266931,2400000,1.12
2014_1210,2014,1210,大成,91740920,1162573,7363944,1.7
2014_1213,2014,1213,大飲,702122,11509,514751,0.22
2014_1215,2014,1215,卜蜂,17527760,782892,2436282,3.21
2014_1216,2014,1216,統一,425187182,11122830,54634763,2.04
2014_1217,2014,1217,愛之味,4283751,-357794,4976893,-0.73
2014_1218,2014,1218,泰山,9001125,67717,3533360,0.2
2014_1219,2014,1219,福壽,10543589,134453,3131882,0.43
2014_1220,2014,1220,台榮,3769955,53469,1770779,0.3
2014_1225,2014,1225,福懋油,12407408,45069,2187030,0.22
2014_1227,2014,1227,佳格,21800013,2075851,7206338,2.9
2014_1229,2014,1229,聯華,5302422,1718864,8545383,2.01
2014_1231,2014,1231,聯華食,5893261,222809,1481131,1.5
2014_1232,2014,1232,大統益,21849462,987441,1599749,6.17
2014_1233,2014,1233,天仁,2149080,229782,905919,2.54
2014_1234,2014,1234,黑松,6015394,394958,4018711,0.98
2014_1235,2014,1235,興泰,172096,52341,561688,0.97
2014_1236,2014,1236,宏亞,2371613,167464,1083425,1.55
2014_1702,2014,1702,南僑,14831846,948634,2941330,3.82
2014_1737,2014,1737,臺鹽,2597177,214469,2000000,1.07
2014_1301,2014,1301,台塑,216589040,17993434,63657408,2.83
2014_1303,2014,1303,南亞,325473146,31785279,79308216,4.01
2014_1304,2014,1304,台聚,59704563,640838,11426024,0.62
2014_1305,2014,1305,華夏,14559831,118906,4683034,0.25
2014_1307,2014,1307,三芳,11191138,969759,3749817,2.59
2014_1308,2014,1308,亞聚,5566285,499933,4696769,1.06
2014_1309,2014,1309,台達化,20933816,-631186,3276518,-1.93
2014_1310,2014,1310,台苯,17028183,-38456,5278698,-0.07
2014_1312,2014,1312,國喬,24340264,292518,9266203,0.31
2014_1313,2014,1313,聯成,53282098,-243252,11598514,-0.21
2014_1314,2014,1314,中石化,33249482,304449,23199897,0.13
2014_1315,2014,1315,達新,2989773,235661,1980000,1.16
2014_1319,2014,1319,東陽,21141658,909886,5914771,1.54
2014_1321,2014,1321,大洋,5365933,-145025,2272283,-0.66
2014_1323,2014,1323,永裕,3471411,273626,912745,3.01
2014_1324,2014,1324,地球,1447397,43053,751219,0.57
2014_1325,2014,1325,恆大,1205434,58797,1003308,0.58
2014_1326,2014,1326,台化,401453739,10530288,58611863,1.8
2014_1337,2014,1337,F-再生,5381767,1133135,2498291,4.54
2014_1339,2014,1339,昭輝,1439884,301332,659259,4.57
2014_1340,2014,1340,F-勝悅,3094505,934256,883794,10.6
2014_1715,2014,1715,萬洲,10970682,695983,3983122,1.77
2014_4306,2014,4306,炎洲,19994110,144855,5127246,0.28
2014_1402,2014,1402,遠東新,235506639,11033421,52479168,2.25
2014_1409,2014,1409,新纖,44350318,1365358,16634613,0.81
2014_1410,2014,1410,南染,637513,104126,720000,1.21
2014_1413,2014,1413,宏洲,3511555,-245728,1021124,-2.44
2014_1414,2014,1414,東和,1312550,45869,2200000,0.21
2014_1416,2014,1416,廣豐,1161919,485408,2933557,1.68
2014_1417,2014,1417,嘉裕,3286766,29101,3798837,0.08
2014_1418,2014,1418,東華,2008921,-160144,1319276,-1.32
2014_1419,2014,1419,新紡,1176182,104282,3000413,0.35
2014_1423,2014,1423,利華,689868,-74649,1750000,-0.43
2014_1432,2014,1432,大魯閣,131832,-142195,1639899,-0.87
2014_1434,2014,1434,福懋,48191112,3518374,16846646,2.09
2014_1439,2014,1439,中和,423790,769,920000,0.01
2014_1440,2014,1440,南紡,20764981,474995,16404118,0.29
2014_1441,2014,1441,大東,1662336,-194550,917531,-2.17
2014_1443,2014,1443,立益,1746387,-203988,1353430,-1.51
2014_1444,2014,1444,力麗,11532919,216818,9573029,0.23
2014_1445,2014,1445,大宇,1908684,29064,1386670,0.21
2014_1446,2014,1446,宏和,840025,13270,1386215,0.1
2014_1447,2014,1447,力鵬,22363188,348239,8709402,0.42
2014_1449,2014,1449,佳和,3455795,52571,1200000,0.46
2014_1451,2014,1451,年興,13213126,699992,4000000,1.75
2014_1452,2014,1452,宏益,2119911,173731,1326414,1.31
2014_1453,2014,1453,大將,233413,-46643,879164,-0.54
2014_1454,2014,1454,台富,2108199,68543,1403098,0.52
2014_1455,2014,1455,集盛,18172168,57318,6117634,0.09
2014_1456,2014,1456,怡華,908525,-1119344,2130000,-5.33
2014_1457,2014,1457,宜進,4418058,88140,3351640,0.34
2014_1459,2014,1459,聯發,4068018,175928,3586289,0.56
2014_1460,2014,1460,宏遠,8158215,373954,4711891,0.85
2014_1463,2014,1463,強盛,534742,102311,1732684,0.63
2014_1464,2014,1464,得力,5684574,895101,2168960,4.14
2014_1465,2014,1465,偉全,2697559,108303,1036073,1.05
2014_1466,2014,1466,聚隆,5011570,54005,1111519,0.52
2014_1467,2014,1467,南緯,7185601,111589,2102622,0.57
2014_1468,2014,1468,昶和,588336,-57708,1604053,-0.36
2014_1469,2014,1469,理隆,474885,-67,1246000,(<<<<<)
2014_1470,2014,1470,大統染,744311,66367,857670,0.77
2014_1472,2014,1472,三洋紡,981564,-61835,716500,-0.89
2014_1473,2014,1473,台南,9137371,141248,1468590,0.97
2014_1474,2014,1474,弘裕,3533648,56930,1298970,0.44
2014_1475,2014,1475,本盟,221131,-41366,525168,-0.79
2014_1476,2014,1476,儒鴻,20842752,3003519,2609874,11.51
2014_1477,2014,1477,聚陽,20888798,1705256,1909695,9.62
2014_4414,2014,4414,如興,2584212,29392,1315072,0.27
2014_4426,2014,4426,利勤,1380159,269191,766152,3.51
2014_1503,2014,1503,士電,19802928,1267797,5209722,2.43
2014_1504,2014,1504,東元,53820604,4066924,20026929,2.06
2014_1506,2014,1506,正道,1566405,13052,1222516,0.11
2014_1507,2014,1507,永大,23875782,2021698,4108200,4.95
2014_1512,2014,1512,瑞利,3936329,-237172,1818025,-1.3
2014_1513,2014,1513,中興電,11320757,680911,4200000,1.5
2014_1514,2014,1514,亞力,3403124,108635,2010670,0.55
2014_1515,2014,1515,力山,3606265,147866,1814735,0.81
2014_1517,2014,1517,利奇,3882822,231047,2278250,1.01
2014_1519,2014,1519,華城,5123371,259912,2610585,1
2014_1521,2014,1521,大億,4962422,373453,762300,4.9
2014_1522,2014,1522,堤維西,18762443,512023,3128979,1.64
2014_1524,2014,1524,耿鼎,2474247,6567,1796852,0.04
2014_1525,2014,1525,江申,1185714,319590,692454,4.62
2014_1526,2014,1526,日馳,756001,54305,500000,1.09
2014_1527,2014,1527,鑽全,3143228,967721,1532896,6.31
2014_1528,2014,1528,恩德,3268623,17442,1470000,0.12
2014_1529,2014,1529,樂士,105626,-66000,2997089,-0.25
2014_1530,2014,1530,亞崴,3913307,272871,919945,2.97
2014_1531,2014,1531,高林股,2777856,202050,1931511,1.05
2014_1533,2014,1533,車王電,2657647,227978,964152,2.41
2014_1535,2014,1535,中宇,10351517,680646,1237426,5.5
2014_1536,2014,1536,和大,4236498,711673,2349565,3.06
2014_1537,2014,1537,廣隆,6765833,659721,815854,8.09
2014_1538,2014,1538,正峰新,865699,-53203,831358,-0.64
2014_1539,2014,1539,巨庭,2503519,131358,653700,2.01
2014_1540,2014,1540,喬福,1129632,198550,854736,2.5
2014_1541,2014,1541,錩泰,2688034,162324,788000,2.06
2014_1558,2014,1558,伸興,6246366,829346,605526,13.7
2014_1560,2014,1560,中砂,4354824,653437,1410000,4.63
2014_1568,2014,1568,倉佑,2238880,116967,1030865,1.18
2014_1583,2014,1583,程泰,7817221,685834,1000323,6.88
2014_1589,2014,1589,F-永冠,7206294,1002164,1048890,9.78
2014_1590,2014,1590,F-亞德,8378961,1770731,1705000,10.39
2014_1592,2014,1592,F-英瑞,4798743,167930,1004333,1.83
2014_2049,2014,2049,上銀,15087336,2404906,2614354,9.2
2014_2228,2014,2228,劍麟,3506989,486565,717050,6.79
2014_2231,2014,2231,為升,2155184,745253,723953,10.43
2014_2371,2014,2371,大同,112609278,363539,23395367,0.16
2014_3167,2014,3167,大量,2398192,237770,727078,3.27
2014_4526,2014,4526,東台,9074478,578540,2510299,2.51
2014_4532,2014,4532,瑞智,18126566,1079045,4684044,2.3
2014_5288,2014,5288,F-豐祥,3798622,344099,643492,5.77
2014_6605,2014,6605,帝寶,14711547,1670101,1658164,10.07
2014_8222,2014,8222,寶一,767878,42210,621789,0.68
2014_8374,2014,8374,羅昇,4356304,-130945,876085,-1.49
2014_8996,2014,8996,高力,2334681,198870,812583,2.45
2014_1603,2014,1603,華電,2627354,250585,3423000,0.88
2014_1604,2014,1604,聲寶,10331141,640447,5250000,1.25
2014_1605,2014,1605,華新,162987384,2264691,35760002,0.64
2014_1608,2014,1608,華榮,9917436,-6792,6327735,-0.02
2014_1609,2014,1609,大亞,16014756,20454,5801808,0.04
2014_1611,2014,1611,中電,2857486,-275308,3984392,-0.69
2014_1612,2014,1612,宏泰,3805714,251155,3241511,0.77
2014_1613,2014,1613,台一,45880345,-233461,2275280,-1.03
2014_1614,2014,1614,三洋電,5290251,226402,2691134,0.87
2014_1615,2014,1615,大山,2728035,83230,1118618,0.74
2014_1616,2014,1616,億泰,3834751,-189538,1941485,-1
2014_1617,2014,1617,榮星,3610153,47354,1442332,0.33
2014_1618,2014,1618,合機,1807620,-13549,2408647,-0.06
2014_1626,2014,1626,F-艾美,12117829,-332282,1228846,-2.71
2014_4930,2014,4930,燦星網,13666409,854939,1343000,3.68
2014_1802,2014,1802,台玻,41570020,153261,23780608,0.06
2014_1806,2014,1806,冠軍,6963352,-501008,4373351,-1.15
2014_1809,2014,1809,中釉,3578567,164504,1898204,0.87
2014_1810,2014,1810,和成,5984327,181562,3698536,0.49
2014_1817,2014,1817,凱撒衛,1948053,182105,726000,2.51
2014_1902,2014,1902,台紙,6764178,19974,4020005,0.05
2014_1903,2014,1903,士紙,1552109,-445333,2600391,-1.71
2014_1904,2014,1904,正隆,44870316,752408,10733682,0.7
2014_1905,2014,1905,華紙,21144930,27496,12228353,0.02
2014_1906,2014,1906,寶隆,434047,175758,1510000,1.18
2014_1907,2014,1907,永豐餘,60896397,602624,16603715,0.36
2014_1909,2014,1909,榮成,27487942,873633,8371133,1.09
2014_1532,2014,1532,勤美,16933757,534860,3936561,1.36
2014_2002,2014,2002,中鋼,366510697,22160266,157731290,1.43
2014_2006,2014,2006,東鋼,35892185,1061592,9982215,1.06
2014_2007,2014,2007,燁興,7231688,-622494,6306516,-0.99
2014_2008,2014,2008,高興昌,1489229,-369290,2754873,-1.34
2014_2009,2014,2009,第一銅,4087759,134074,3596222,0.37
2014_2010,2014,2010,春源,20431330,466759,6476554,0.72
2014_2012,2014,2012,春雨,9176591,139827,2877740,0.53
2014_2013,2014,2013,中鋼構,17282772,255683,2000000,1.32
2014_2014,2014,2014,中鴻,37132669,208397,14355444,0.15
2014_2015,2014,2015,豐興,30171468,1668131,5815994,2.87
2014_2017,2014,2017,官田鋼,5900408,-167761,3848775,-0.44
2014_2020,2014,2020,美亞,5678691,239729,2591261,0.92
2014_2022,2014,2022,聚亨,9006824,2693,5470911,<<<<<
2014_2023,2014,2023,燁輝,60567319,1238852,16680490,0.74
2014_2024,2014,2024,志聯,1726353,135112,1020000,1.26
2014_2025,2014,2025,千興,5147830,-85038,3228341,-0.3
2014_2027,2014,2027,大成鋼,50811759,1885199,7770970,2.44
2014_2028,2014,2028,威致,10009160,-613063,3428580,-2.06
2014_2029,2014,2029,盛餘,16182610,435234,3211800,1.36
2014_2030,2014,2030,彰源,13958636,390961,2728819,1.51
2014_2031,2014,2031,新光鋼,8653502,231451,2788380,0.83
2014_2032,2014,2032,新鋼,3482717,57336,1305215,0.44
2014_2033,2014,2033,佳大,805560,-15978,806945,-0.2
2014_2034,2014,2034,允強,25424368,982813,3701189,2.66
2014_2038,2014,2038,海光,10940111,-152890,1726329,-0.89
2014_3004,2014,3004,豐達科,1376535,-55736,425502,-1.32
2014_5007,2014,5007,三星,7103036,1040310,2681274,3.88
2014_5538,2014,5538,F-東明,6417499,513082,1680000,3.05
2014_9958,2014,9958,世紀鋼,2888292,64551,1819197,0.35
2014_2101,2014,2101,南港,12356784,334215,8449229,0.4
2014_2102,2014,2102,泰豐,7664605,423036,4571904,0.95
2014_2103,2014,2103,台橡,31868574,1141338,8257099,1.38
2014_2104,2014,2104,中橡,22004569,2565452,5492241,4.76
2014_2105,2014,2105,正新,129014062,16015591,32414155,4.94
2014_2106,2014,2106,建大,33292513,3677419,8164500,4.5
2014_2107,2014,2107,厚生,5543681,3268779,4971894,6.57
2014_2108,2014,2108,南帝,8199173,230728,4149932,0.56
2014_2109,2014,2109,華豐,6861033,791264,3368015,2.36
2014_2114,2014,2114,鑫永銓,2155189,495510,675253,7.34
2014_2115,2014,2115,F-六暉,2633761,230569,709947,3.25
2014_1338,2014,1338,F-廣華,8404236,632734,850000,7.78
2014_2201,2014,2201,裕隆,120610516,2210346,15729199,1.51
2014_2204,2014,2204,中華,35951427,2558290,13840508,1.88
2014_2206,2014,2206,三陽,36457248,-278539,9000446,-0.32
2014_2207,2014,2207,和泰車,160214136,9196735,5461792,16.84
2014_2227,2014,2227,裕日車,33176837,6523759,3000000,21.75
2014_1436,2014,1436,華友聯,1581330,321082,600000,5.35
2014_1438,2014,1438,裕豐,12419,3646,1024115,0.04
2014_1442,2014,1442,名軒,1455970,415104,2140711,1.96
2014_1805,2014,1805,寶徠,1031785,8960,802654,0.11
2014_1808,2014,1808,潤隆,4596676,668548,1850089,3.73
2014_2501,2014,2501,國建,9892378,2953316,16565158,1.78
2014_2504,2014,2504,國產,35077508,808117,15192983,0.53
2014_2505,2014,2505,國揚,1556661,50339,5035592,0.1
2014_2506,2014,2506,太設,3875117,325464,3870000,0.88
2014_2509,2014,2509,全坤建,36590,-202885,1517520,-1.34
2014_2511,2014,2511,太子,19424465,2398718,16623418,1.51
2014_2515,2014,2515,中工,13898650,516574,15250175,0.34
2014_2516,2014,2516,新建,11772857,146115,2364775,0.65
2014_2520,2014,2520,冠德,13165659,2873495,5037910,5.82
2014_2524,2014,2524,京城,3248328,975599,3759261,2.6
2014_2527,2014,2527,宏璟,4977111,884976,2703060,3.38
2014_2528,2014,2528,皇普,348912,56126,1210019,0.47
2014_2530,2014,2530,華建,9850,-173997,2707525,-0.65
2014_2534,2014,2534,宏盛,973136,-237181,5890910,-0.4
2014_2535,2014,2535,達欣工,11381480,523207,2196229,2.54
2014_2536,2014,2536,宏普,4499980,1138675,3328087,3.46
2014_2537,2014,2537,聯上發,1083905,283122,2477692,1.15
2014_2538,2014,2538,基泰,2305411,1301486,4100193,3.18
2014_2539,2014,2539,櫻花建,3706382,1106322,2386380,4.64
2014_2540,2014,2540,愛山林,1150490,77124,1466000,0.73
2014_2542,2014,2542,興富發,37515171,10132936,8974051,11.44
2014_2543,2014,2543,皇昌,5474793,290816,2419837,1.31
2014_2545,2014,2545,皇翔,4653847,1835629,3277348,5.6
2014_2546,2014,2546,根基,5524861,177846,1060357,1.68
2014_2547,2014,2547,日勝生,3785421,-425307,8779416,-0.48
2014_2548,2014,2548,華固,6441828,1406208,2768127,5.08
2014_2597,2014,2597,潤弘,14205725,1130786,1350000,8.38
2014_2841,2014,2841,台開,1791486,5312165,6791103,8.13
2014_2923,2014,2923,F-鼎固,7687342,2898663,17402970,1.67
2014_3052,2014,3052,夆典,3691612,185708,2240428,0.94
2014_3056,2014,3056,總太,1826723,390902,1729464,2.43
2014_3266,2014,3266,昇陽,5167677,1416704,3523143,4.02
2014_3703,2014,3703,欣陸,21227405,-979878,8832160,-1.11
2014_5515,2014,5515,建國,7002614,189476,3601191,0.53
2014_5519,2014,5519,隆大,4067260,543350,1725000,3.15
2014_5521,2014,5521,工信,5846800,-158617,3475274,-0.46
2014_5522,2014,5522,遠雄,17824201,5006639,8354332,5.99
2014_5525,2014,5525,順天,4042406,584131,2457193,2.46
2014_5531,2014,5531,鄉林,5051696,1095060,8021000,1.37
2014_5533,2014,5533,皇鼎,3638410,977581,2556647,3.83
2014_5534,2014,5534,長虹,5208686,1885665,2612549,7.22
2014_6177,2014,6177,達麗,4812063,1523417,1694075,9.02
2014_9946,2014,9946,三發,641533,43745,2062027,0.21
2014_2208,2014,2208,台船,25497653,450782,7435652,0.61
2014_2603,2014,2603,長榮,144284374,1176039,34775802,0.34
2014_2605,2014,2605,新興,4468377,858476,5683042,1.51
2014_2606,2014,2606,裕民,9140951,2083117,8580167,2.43
2014_2607,2014,2607,榮運,6730457,668344,10671411,0.63
2014_2608,2014,2608,大榮,8207929,990119,4835825,2.05
2014_2609,2014,2609,陽明,134777858,411367,28563800,0.13
2014_2610,2014,2610,華航,150581742,-751232,52491666,-0.14
2014_2611,2014,2611,志信,1438379,69638,1742172,0.4
2014_2612,2014,2612,中航,3491281,332714,2564736,1.3
2014_2613,2014,2613,中櫃,2650056,112311,934511,1.41
2014_2615,2014,2615,萬海,66974244,5254074,22182975,2.37
2014_2617,2014,2617,台航,2897517,305504,4172945,0.73
2014_2618,2014,2618,長榮航,133090008,-1306724,32776017,-0.4
2014_2634,2014,2634,漢翔,24924039,1871503,9082615,2.06
2014_2637,2014,2637,F-慧洋,9056880,1766657,4705131,3.81
2014_2642,2014,2642,宅配通,2567270,155989,954670,1.63
2014_5607,2014,5607,遠雄港,1289493,226425,1699791,1.33
2014_5608,2014,5608,四維航,4471203,224974,4033500,0.56
2014_6702,2014,6702,復航,13215447,304911,6155329,0.55
2014_2701,2014,2701,萬企,372171,280350,3790338,0.74
2014_2702,2014,2702,華園,704273,62846,900795,0.7
2014_2704,2014,2704,國賓,3479525,410085,3669234,1.12
2014_2705,2014,2705,六福,2861549,64016,3302410,0.19
2014_2706,2014,2706,第一店,369016,396220,3920025,1.01
2014_2707,2014,2707,晶華,6332393,1122816,1169231,9.6
2014_2712,2014,2712,遠雄來,603037,98266,1050000,0.94
2014_2722,2014,2722,夏都,714025,172144,892019,1.93
2014_2723,2014,2723,F-美食,17921236,527509,1411200,3.74
2014_2727,2014,2727,王品,16916541,703316,769879,9.14
2014_2731,2014,2731,雄獅,17689512,383910,700000,5.48
2014_5706,2014,5706,鳳凰,2884999,125497,610605,2.07
2014_8940,2014,8940,新天地,1573905,-73815,674910,-1.09
2014_9943,2014,9943,好樂迪,3233820,648235,1473176,4.4
2014_2801,2014,2801,彰銀,26563497,10897180,79040404,1.38
2014_2809,2014,2809,京城銀,7764807,5196354,12012343,4.33
2014_2812,2014,2812,台中銀,10714999,3719256,28515063,1.32
2014_2816,2014,2816,旺旺保,5770802,584635,2129600,2.75
2014_2820,2014,2820,華票,1875209,1385343,13429600,1.03
2014_2823,2014,2823,中壽,193631190,6511959,30364970,2.15
2014_2832,2014,2832,台產,4133213,658027,3638164,1.81
2014_2833,2014,2833,台壽保,88919402,1813584,9682307,1.87
2014_2834,2014,2834,臺企銀,18994325,5315137,52979141,1
2014_2836,2014,2836,高雄銀,3400019,509891,7403514,0.69
2014_2838,2014,2838,聯邦銀,10934941,3093795,24509306,1.26
2014_2845,2014,2845,遠東銀,10876948,3694523,28618263,1.31
2014_2847,2014,2847,大眾銀,10291390,2635095,25805739,1.04
2014_2849,2014,2849,安泰銀,7184254,3201479,16796775,1.91
2014_2850,2014,2850,新產,11000465,1035595,3159633,3.28
2014_2851,2014,2851,中再保,16283563,870874,5622750,1.55
2014_2852,2014,2852,第一保,4919907,416101,3011638,1.38
2014_2855,2014,2855,統一證,5163297,1583169,13231191,1.2
2014_2856,2014,2856,元富證,5327626,1497524,15398905,0.97
2014_2867,2014,2867,三商壽,154722934,2411672,13524566,1.82
2014_2880,2014,2880,華南金,38817038,13130945,93279700,1.41
2014_2881,2014,2881,富邦金,381835325,60248412,102336040,5.89
2014_2882,2014,2882,國泰金,407375503,49522447,125632102,3.94
2014_2883,2014,2883,開發金,28741833,10836229,153444462,0.73
2014_2884,2014,2884,玉山金,32754519,10528552,70530000,1.56
2014_2885,2014,2885,元大金,55083738,16472023,101410666,1.62
2014_2886,2014,2886,兆豐金,60504967,30258664,124498240,2.43
2014_2887,2014,2887,台新金,44639686,1624376,95780609,0.08
2014_2888,2014,2888,新光金,184868349,6890355,98347538,0.7
2014_2889,2014,2889,國票金,4856038,1732798,26873652,0.66
2014_2890,2014,2890,永豐金,38495813,12989606,94709209,1.45
2014_2891,2014,2891,中信金,201426687,39437007,152572815,2.58
2014_2892,2014,2892,第一金,34186455,14084936,92592548,1.52
2014_5880,2014,5880,合庫金,35486473,10236352,90449800,1.13
2014_6005,2014,6005,群益證,6868876,2025305,23690730,0.85
2014_2601,2014,2601,益航,8768625,-19539,3776172,-0.05
2014_2614,2014,2614,東森,12813375,-3589668,6959874,-5.16
2014_2901,2014,2901,欣欣,150326,35784,730433,0.49
2014_2903,2014,2903,遠百,45928793,1529065,14391956,1.07
2014_2905,2014,2905,三商,186870139,1259900,6813689,1.96
2014_2906,2014,2906,高林,6293543,203382,2119817,0.97
2014_2908,2014,2908,特力,35946241,705731,5139555,1.42
2014_2910,2014,2910,統領,980635,170514,2087250,0.97
2014_2911,2014,2911,麗嬰房,9329927,-105293,2112958,0.5
2014_2912,2014,2912,統一超,207989021,9086015,10396223,8.74
2014_2913,2014,2913,農林,1882000,833105,7202400,1.16
2014_2915,2014,2915,潤泰全,9044771,7113076,9414343,8
2014_2929,2014,2929,F-淘帝,4657001,754065,580800,12.98
2014_5906,2014,5906,F-台南,1577731,-556334,963233,-5.78
2014_5907,2014,5907,F-大洋,7604096,1072635,2020000,5.38
2014_8429,2014,8429,F-金麗,5724250,1011784,1209686,8.36
2014_8443,2014,8443,阿瘦,2643759,126875,668000,2.03
2014_8454,2014,8454,富邦媒,23897005,1170042,1420585,9.11
2014_1316,2014,1316,上曜,793523,-43466,1399079,-0.33
2014_1704,2014,1704,榮化,41980225,-8327416,8529594,-9.76
2014_1708,2014,1708,東碱,4188340,649779,1740182,3.73
2014_1709,2014,1709,和益,11074650,186745,4299329,0.43
2014_1710,2014,1710,東聯,14126334,115882,8857031,0.13
2014_1711,2014,1711,永光,9899878,578435,4968274,1.16
2014_1712,2014,1712,興農,17287684,506505,3378944,1.51
2014_1713,2014,1713,國化,748780,92001,1509517,0.61
2014_1714,2014,1714,和桐,56677333,-395328,9585927,-0.42
2014_1717,2014,1717,長興,40343325,2303471,10221690,2.25
2014_1718,2014,1718,中纖,36951240,1084266,13716932,0.96
2014_1721,2014,1721,三晃,1578255,7631,836771,0.09
2014_1722,2014,1722,台肥,17510273,3068346,9800000,3.13
2014_1723,2014,1723,中碳,8904302,2187189,2369044,9.5
2014_1724,2014,1724,台硝,1350162,40857,1278139,0.32
2014_1725,2014,1725,元禎,10472666,171699,1825010,0.94
2014_1726,2014,1726,永記,8302606,1035039,1620000,6.39
2014_1727,2014,1727,中華化,2226223,110429,1050000,1.05
2014_1730,2014,1730,花仙子,1595878,114703,534812,2.14
2014_1732,2014,1732,毛寶,579208,-10238,424439,-0.24
2014_1735,2014,1735,日勝化,4492846,74293,1023880,0.75
2014_1773,2014,1773,勝一,7283315,524255,1500000,3.5
2014_4722,2014,4722,國精化,4996442,178774,882469,2.03
2014_4725,2014,4725,信昌化,23106926,-575751,2919750,-1.97
2014_4733,2014,4733,上緯,5981034,740619,855998,8.93
2014_4755,2014,4755,三福化,3483929,144613,892230,1.63
2014_1701,2014,1701,中化,5297426,347723,2980811,1.17
2014_1707,2014,1707,葡萄王,6282859,942483,1302350,7.24
2014_1720,2014,1720,生達,3295656,374235,1786961,2.09
2014_1729,2014,1729,必翔,1074462,42645,1854142,0.23
2014_1731,2014,1731,美吾華,1232868,80524,1329152,0.61
2014_1733,2014,1733,五鼎,1788929,273377,985314,2.77
2014_1734,2014,1734,杏輝,2642145,163393,1612712,1.01
2014_1736,2014,1736,喬山,16551036,2637700,3024172,8.73
2014_1762,2014,1762,中化生,946704,14592,775600,0.19
2014_1783,2014,1783,和康生,245686,-19041,703990,-0.27
2014_1786,2014,1786,科妍,158281,-22145,535000,-0.41
2014_1789,2014,1789,神隆,4097844,484143,7029643,0.69
2014_3164,2014,3164,景岳,564525,-386158,889119,-5.82
2014_3705,2014,3705,永信,5826555,720058,2537362,2.84
2014_4104,2014,4104,佳醫,5806677,285681,1129524,2.53
2014_4106,2014,4106,雃博,2263357,178414,833855,2.14
2014_4108,2014,4108,懷特,90732,-321702,1636164,-1.97
2014_4119,2014,4119,旭富,1491862,264839,696525,3.83
2014_4133,2014,4133,亞諾法,438112,65643,595469,1.1
2014_4137,2014,4137,F-麗豐,3071369,755837,794924,9.51
2014_4141,2014,4141,F-龍燈,10659866,424900,1409120,3.03
2014_4142,2014,4142,國光生,480506,-614422,2374832,-3.04
2014_4144,2014,4144,F-康聯,2204967,416641,780650,5.35
2014_4164,2014,4164,承業醫,2091026,265766,1303460,2.04
2014_4737,2014,4737,華廣,1524669,54309,514468,1.22
2014_4746,2014,4746,台耀,2496224,262495,844116,3.11
2014_6452,2014,6452,F-康友,3943551,765645,550000,13.92
2014_2616,2014,2616,山隆,20289815,225876,1130088,2.02
