Key,Year,CompanyCode,CompanyName,OperatingRevenues,NetIncomeAfterTax,CapitalStock,EPS
2013_1512,2013,1512,瑞利,3717543,-123114,1818025,-0.68
2013_1513,2013,1513,中興電,10095327,588060,4800000,1.25
2013_1514,2013,1514,亞力,3457016,69647,2010670,0.36
2013_1515,2013,1515,力山,3287008,206812,1814735,1.14
2013_1517,2013,1517,利奇,3876161,345245,2278250,1.52
2013_1519,2013,1519,華城,4450349,114480,2610585,0.44
2013_1521,2013,1521,大億,4203616,306380,762300,4.02
2013_1522,2013,1522,堤維西,16496008,63383,3128979,0.2
2013_1524,2013,1524,耿鼎,2476745,-49317,1786586,-0.3
2013_1525,2013,1525,江申,1226363,297441,692454,4.3
2013_1526,2013,1526,日馳,707572,35005,500000,0.7
2013_1527,2013,1527,鑽全,2704722,525109,1532896,3.43
2013_1528,2013,1528,恩德,3164908,107816,1470000,0.73
2013_1529,2013,1529,樂士,125683,-83242,2497089,-0.33
2013_1530,2013,1530,亞崴,2992668,235978,919945,2.57
2013_1531,2013,1531,高林股,3019440,283438,1931511,1.47
2013_1533,2013,1533,車王電,2333259,200283,964152,2.11
2013_1535,2013,1535,中宇,10260709,614803,1237426,5.06
2013_1536,2013,1536,和大,3723553,430542,2242330,2.3
2013_1537,2013,1537,廣隆,5694779,572911,815854,7.02
2013_1538,2013,1538,正峰新,776387,-463348,1638845,-2.83
2013_1539,2013,1539,巨庭,1953524,90380,653700,1.38
2013_1540,2013,1540,喬福,938979,117513,854736,1.48
2013_1541,2013,1541,錩泰,1838154,-22759,788000,-0.29
2013_1560,2013,1560,中砂,4062397,526055,1410000,3.73
2013_1583,2013,1583,程泰,5882764,390078,967430,4.05
2013_1589,2013,1589,F-永冠,5899431,541119,1008890,5.36
2013_1590,2013,1590,F-亞德,7300291,1710158,1705000,10.55
2013_2049,2013,2049,上銀,12442866,2021585,2538208,7.96
2013_2228,2013,2228,劍麟,3020479,333135,717050,5.09
2013_2231,2013,2231,為升,1498942,363841,612306,6
2013_2371,2013,2371,大同,112926870,-1611408,23395367,-0.7
2013_3167,2013,3167,大量,2196249,162830,692455,2.58
2013_4526,2013,4526,東台,7606700,284428,2310299,1.23
2013_4532,2013,4532,瑞智,16473387,916351,4547616,2.02
2013_6605,2013,6605,帝寶,13639496,1337253,1658164,8.06
2013_8374,2013,8374,羅昇,4129704,21332,876085,0.24
2013_1603,2013,1603,華電,2902598,245723,3423000,0.87
2013_1604,2013,1604,聲寶,11122336,427996,5641001,0.8
2013_1605,2013,1605,華新,148634957,-2688696,35760002,-0.77
2013_1608,2013,1608,華榮,11043925,420579,6327735,0.96
2013_1609,2013,1609,大亞,16904845,142613,5801808,0.25
2013_1611,2013,1611,中電,3202980,-539469,3984392,-1.35
2013_1612,2013,1612,宏泰,4283836,51365,3241511,0.16
2013_1613,2013,1613,台一,44085551,-189175,2275280,-0.83
2013_1614,2013,1614,三洋電,5194534,240926,2691134,0.84
2013_1615,2013,1615,大山,2899676,30614,1118618,0.27
2013_1616,2013,1616,億泰,3414834,3266,1941485,0.02
2013_1617,2013,1617,榮星,3815637,16874,1442332,0.12
2013_1618,2013,1618,合機,2533260,-65464,2408647,-0.27
2013_1626,2013,1626,F-艾美,12982502,611640,1224942,5.1
2013_4930,2013,4930,燦星網,13933957,-79919,2686000,-0.3
2013_1802,2013,1802,台玻,37085123,-896175,23780608,-0.38
2013_1806,2013,1806,冠軍,7174876,280756,4373351,0.64
2013_1809,2013,1809,中釉,3502527,142588,1898204,0.75
2013_1810,2013,1810,和成,6019017,179238,3698536,0.49
2013_1817,2013,1817,凱撒衛,1736983,165530,726000,2.54
2013_1902,2013,1902,台紙,6579073,17356,4020005,0.04
2013_1903,2013,1903,士紙,2012098,-171288,2600391,-0.66
2013_1904,2013,1904,正隆,43763281,1201985,10733682,1.12
2013_1905,2013,1905,華紙,20191763,-694096,12578353,-0.55
2013_1906,2013,1906,寶隆,503879,157,1510000,(<<<<<)
2013_1907,2013,1907,永豐餘,56733425,610546,16603715,0.37
2013_1909,2013,1909,榮成,24306832,847863,7871133,1.2
2013_1532,2013,1532,勤美,14915064,3196542,3859374,8.28
2013_2002,2013,2002,中鋼,347828838,15981540,154638520,1.05
2013_2006,2013,2006,東鋼,35119213,2117078,9982021,2.12
2013_2007,2013,2007,燁興,6036728,-840042,6306516,-1.33
2013_2008,2013,2008,高興昌,1296528,5240227,2754873,13.04
2013_2009,2013,2009,第一銅,3778037,43896,3596222,0.12
2013_2010,2013,2010,春源,19782375,467990,6476554,0.72
2013_2012,2013,2012,春雨,8397647,141598,2877740,0.54
2013_2013,2013,2013,中鋼構,19567517,435531,2000000,2.25
2013_2014,2013,2014,中鴻,38855230,139357,14355444,0.1
2013_2015,2013,2015,豐興,29899588,1446331,5815994,2.49
2013_2017,2013,2017,官田鋼,5885806,-121389,3880955,-0.32
2013_2020,2013,2020,美亞,5331072,178012,2625331,0.68
2013_2022,2013,2022,聚亨,10144869,-335685,5404245,-0.65
2013_2023,2013,2023,燁輝,54861313,771983,16353422,0.47
2013_2024,2013,2024,志聯,1609950,51970,1095500,0.47
2013_2025,2013,2025,千興,4148699,-334575,3228341,-1.19
2013_2027,2013,2027,大成鋼,38609467,222305,7770970,0.29
2013_2028,2013,2028,威致,10418424,-354465,2650000,-1.34
2013_2029,2013,2029,盛餘,15175038,511982,3211800,1.59
2013_2030,2013,2030,彰源,12983533,37729,2728819,0.15
2013_2031,2013,2031,新光鋼,8623884,331162,2769413,1.2
2013_2032,2013,2032,新鋼,3484026,41914,1305215,0.32
2013_2033,2013,2033,佳大,822103,-19362,806945,-0.24
2013_2034,2013,2034,允強,23846654,652907,3701189,1.76
2013_2038,2013,2038,海光,11842149,-65184,1726329,-0.38
2013_3004,2013,3004,豐達科,1064425,110751,418444,2.66
2013_5007,2013,5007,三星,6450941,916978,2331543,3.95
2013_5538,2013,5538,F-東明,6223931,236775,1680000,1.56
2013_9958,2013,9958,世紀鋼,3472787,190669,1819197,1.2
2013_2101,2013,2101,南港,13141668,459302,8798940,0.55
2013_2102,2013,2102,泰豐,8288301,638175,4233244,1.55
2013_2103,2013,2103,台橡,34422999,1495011,7863904,1.9
2013_2104,2013,2104,中橡,21538510,810387,5492241,1.5
2013_2105,2013,2105,正新,133086543,18548522,32414155,5.72
2013_2106,2013,2106,建大,32450584,3237744,7630300,4.41
2013_2107,2013,2107,厚生,4120132,1926466,4971894,3.87
2013_2108,2013,2108,南帝,8534153,325038,3990319,0.81
2013_2109,2013,2109,華豐,7474971,325957,3368015,1.1
2013_2114,2013,2114,鑫永銓,1818853,436713,613866,7.11
2013_2115,2013,2115,F-六暉,2400859,106825,676140,1.77
2013_1338,2013,1338,F-廣華,7313090,458391,781000,5.87
2013_2201,2013,2201,裕隆,93217451,2371183,15729199,1.62
2013_2204,2013,2204,中華,35539825,2531878,13840508,1.86
2013_2206,2013,2206,三陽,32626286,-474054,8963768,-0.53
2013_2207,2013,2207,和泰車,146466911,7650112,5461792,14.01
2013_2227,2013,2227,裕日車,31486050,7299997,3000000,24.33
2013_1436,2013,1436,華友聯,93268,-11041,600000,-0.18
2013_1438,2013,1438,裕豐,60914,29764,1024115,0.29
2013_1442,2013,1442,名軒,3996935,1302208,2097162,6.3
2013_1805,2013,1805,寶徠,2472297,207473,802654,2.66
2013_1808,2013,1808,潤隆,834711,56359,1765970,0.36
